"filename", "language", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx", "JavaScript JSX", 0, 37, 0, 5, 42
"c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx", "JavaScript JSX", 0, 74, 0, 8, 82
"c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss", "SCSS", 90, 0, 0, 19, 109
"c:\Users\ketan\colon33\src\components\Aboutus\aboutus.scss", "SCSS", 5, 0, 0, 1, 6
"c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx", "JavaScript JSX", 0, 26, 0, 7, 33
"c:\Users\ketan\colon33\src\components\Careers\careers.scss", "SCSS", 5, 0, 0, 3, 8
"c:\Users\ketan\colon33\src\components\Home\Banner\Banner.jsx", "JavaScript JSX", 0, 39, 0, 7, 46
"c:\Users\ketan\colon33\src\components\Home\Banner\banner.scss", "SCSS", 42, 0, 1, 5, 48
"c:\Users\ketan\colon33\src\components\Home\Digital1\Digital1.jsx", "JavaScript JSX", 0, 29, 0, 4, 33
"c:\Users\ketan\colon33\src\components\Home\Digital1\digital1.scss", "SCSS", 55, 0, 4, 15, 74
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\Digital.jsx", "JavaScript JSX", 0, 51, 14, 14, 79
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\digital.scss", "SCSS", 104, 0, 7, 31, 142
"c:\Users\ketan\colon33\src\components\Home\Home.jsx", "JavaScript JSX", 0, 24, 1, 2, 27
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\HomeCareers.jsx", "JavaScript JSX", 0, 35, 0, 7, 42
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\homecareers.scss", "SCSS", 73, 0, 2, 15, 90
"c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx", "JavaScript JSX", 0, 71, 0, 13, 84
"c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss", "SCSS", 90, 0, 6, 18, 114
"c:\Users\ketan\colon33\src\components\Home\Services\Services.jsx", "JavaScript JSX", 0, 84, 1, 29, 114
"c:\Users\ketan\colon33\src\components\Home\Services\services.scss", "SCSS", 188, 0, 44, 51, 283
"c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx", "JavaScript JSX", 0, 93, 0, 16, 109
"c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss", "SCSS", 85, 0, 4, 16, 105
"c:\Users\ketan\colon33\src\components\Home\home.scss", "SCSS", 5, 0, 0, 2, 7
"c:\Users\ketan\colon33\src\components\common\BannerComponent\BannerComponent.jsx", "JavaScript JSX", 0, 13, 0, 3, 16
"c:\Users\ketan\colon33\src\components\common\BannerComponent\bannercomp.scss", "SCSS", 32, 0, 0, 13, 45
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\DescriptionCommon.jsx", "JavaScript JSX", 0, 30, 1, 7, 38
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\descommon.scss", "SCSS", 75, 0, 4, 13, 92
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\Flipped.jsx", "JavaScript JSX", 0, 28, 0, 5, 33
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\flipped.scss", "SCSS", 78, 0, 2, 18, 98
"c:\Users\ketan\colon33\src\components\common\Footer\Footer.jsx", "JavaScript JSX", 0, 51, 0, 13, 64
"c:\Users\ketan\colon33\src\components\common\Footer\footer.scss", "SCSS", 103, 0, 0, 20, 123
"c:\Users\ketan\colon33\src\components\common\Navbar\Navbar.jsx", "JavaScript JSX", 0, 49, 0, 4, 53
"c:\Users\ketan\colon33\src\components\common\Navbar\navbar.scss", "SCSS", 42, 0, 1, 15, 58
"Total", "-", 1072, 734, 92, 399, 2297
