"filename", "language", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx", "JavaScript JSX", 4, 0, 0, 0, 4
"c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx", "JavaScript JSX", 6, 0, 0, 1, 7
"c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss", "SCSS", 0, 9, 3, 3, 15
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\CareersTestimonials.jsx", "JavaScript JSX", 96, 0, 0, 15, 111
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\careerstestimonials.scss", "SCSS", 0, 208, 2, 39, 249
"c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx", "JavaScript JSX", 9, 0, 0, -2, 7
"c:\Users\ketan\colon33\src\components\Careers\Network\Network.jsx", "JavaScript JSX", 26, 0, 0, 5, 31
"c:\Users\ketan\colon33\src\components\Careers\Network\network.scss", "SCSS", 0, 54, 0, 10, 64
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\CultureComp.jsx", "JavaScript JSX", 61, 0, 0, 10, 71
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\culture.scss", "SCSS", 0, 85, 0, 12, 97
"c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx", "JavaScript JSX", 26, 0, 0, 0, 26
"c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss", "SCSS", 0, 2, 0, 0, 2
"c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx", "JavaScript JSX", 7, 0, 0, -3, 4
"c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss", "SCSS", 0, 17, 1, 3, 21
"c:\Users\ketan\colon33\src\components\Leadership\Leadership.jsx", "JavaScript JSX", 22, 0, 2, 3, 27
"c:\Users\ketan\colon33\src\components\Leadership\leadership.scss", "SCSS", 0, 5, 0, 0, 5
"c:\Users\ketan\colon33\src\components\common\BannerComponent\BannerComponent.jsx", "JavaScript JSX", 1, 0, 2, 2, 5
"c:\Users\ketan\colon33\src\components\common\BannerComponent\bannercomp.scss", "SCSS", 0, 4, 0, 0, 4
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\DescriptionCommon.jsx", "JavaScript JSX", 5, 0, 0, -3, 2
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\descommon.scss", "SCSS", 0, -4, 0, -1, -5
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\Flipped.jsx", "JavaScript JSX", 3, 0, 0, 2, 5
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\flipped.scss", "SCSS", 0, -8, 5, -9, -12
"c:\Users\ketan\colon33\src\components\common\Footer\footer.scss", "SCSS", 0, 1, 0, 0, 1
"c:\Users\ketan\colon33\src\components\common\Navbar\navbar.scss", "SCSS", 0, -1, -1, 0, -2
"c:\Users\ketan\colon33\src\components\common\PresenceComp\Presence.jsx", "JavaScript JSX", 45, 0, 0, 7, 52
"c:\Users\ketan\colon33\src\components\common\PresenceComp\presence.scss", "SCSS", 0, 49, 1, 8, 58
"Total", "-", 311, 421, 15, 102, 849
