"filename", "language", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\components\Aboutus\Aboutus.jsx", "JavaScript JSX", 41, 0, 0, 5, 46
"c:\Users\ketan\colon33\src\components\Aboutus\Values\Values.jsx", "JavaScript JSX", 80, 0, 0, 9, 89
"c:\Users\ketan\colon33\src\components\Aboutus\Values\values.scss", "SCSS", 0, 99, 3, 22, 124
"c:\Users\ketan\colon33\src\components\Aboutus\aboutus.scss", "SCSS", 0, 5, 0, 1, 6
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\CareersTestimonials.jsx", "JavaScript JSX", 96, 0, 0, 15, 111
"c:\Users\ketan\colon33\src\components\Careers\CareersTestimonials\careerstestimonials.scss", "SCSS", 0, 208, 2, 39, 249
"c:\Users\ketan\colon33\src\components\Careers\Carrers.jsx", "JavaScript JSX", 35, 0, 0, 5, 40
"c:\Users\ketan\colon33\src\components\Careers\Network\Network.jsx", "JavaScript JSX", 26, 0, 0, 5, 31
"c:\Users\ketan\colon33\src\components\Careers\Network\network.scss", "SCSS", 0, 54, 0, 10, 64
"c:\Users\ketan\colon33\src\components\Careers\careers.scss", "SCSS", 0, 5, 0, 3, 8
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\CultureComp.jsx", "JavaScript JSX", 61, 0, 0, 10, 71
"c:\Users\ketan\colon33\src\components\Careers\cultureComp\culture.scss", "SCSS", 0, 85, 0, 12, 97
"c:\Users\ketan\colon33\src\components\Home\Banner\Banner.jsx", "JavaScript JSX", 39, 0, 0, 7, 46
"c:\Users\ketan\colon33\src\components\Home\Banner\banner.scss", "SCSS", 0, 42, 1, 5, 48
"c:\Users\ketan\colon33\src\components\Home\Digital1\Digital1.jsx", "JavaScript JSX", 29, 0, 0, 4, 33
"c:\Users\ketan\colon33\src\components\Home\Digital1\digital1.scss", "SCSS", 0, 55, 4, 15, 74
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\Digital.jsx", "JavaScript JSX", 51, 0, 14, 14, 79
"c:\Users\ketan\colon33\src\components\Home\DigitalTransformation\digital.scss", "SCSS", 0, 104, 7, 31, 142
"c:\Users\ketan\colon33\src\components\Home\Home.jsx", "JavaScript JSX", 24, 0, 1, 2, 27
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\HomeCareers.jsx", "JavaScript JSX", 35, 0, 0, 7, 42
"c:\Users\ketan\colon33\src\components\Home\HomeCareers\homecareers.scss", "SCSS", 0, 73, 2, 15, 90
"c:\Users\ketan\colon33\src\components\Home\Partners\Partners.jsx", "JavaScript JSX", 97, 0, 0, 13, 110
"c:\Users\ketan\colon33\src\components\Home\Partners\partners.scss", "SCSS", 0, 92, 6, 18, 116
"c:\Users\ketan\colon33\src\components\Home\Services\Services.jsx", "JavaScript JSX", 84, 0, 1, 29, 114
"c:\Users\ketan\colon33\src\components\Home\Services\services.scss", "SCSS", 0, 188, 44, 51, 283
"c:\Users\ketan\colon33\src\components\Home\Testimonials\Testimonials.jsx", "JavaScript JSX", 100, 0, 0, 13, 113
"c:\Users\ketan\colon33\src\components\Home\Testimonials\testimonials.scss", "SCSS", 0, 102, 5, 19, 126
"c:\Users\ketan\colon33\src\components\Home\home.scss", "SCSS", 0, 5, 0, 2, 7
"c:\Users\ketan\colon33\src\components\Leadership\Leadership.jsx", "JavaScript JSX", 22, 0, 2, 3, 27
"c:\Users\ketan\colon33\src\components\Leadership\leadership.scss", "SCSS", 0, 5, 0, 0, 5
"c:\Users\ketan\colon33\src\components\common\BannerComponent\BannerComponent.jsx", "JavaScript JSX", 14, 0, 2, 5, 21
"c:\Users\ketan\colon33\src\components\common\BannerComponent\bannercomp.scss", "SCSS", 0, 36, 0, 13, 49
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\DescriptionCommon.jsx", "JavaScript JSX", 35, 0, 1, 4, 40
"c:\Users\ketan\colon33\src\components\common\DescriptionCommon\descommon.scss", "SCSS", 0, 71, 4, 12, 87
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\Flipped.jsx", "JavaScript JSX", 31, 0, 0, 7, 38
"c:\Users\ketan\colon33\src\components\common\FlippedDescCommon\flipped.scss", "SCSS", 0, 70, 7, 9, 86
"c:\Users\ketan\colon33\src\components\common\Footer\Footer.jsx", "JavaScript JSX", 51, 0, 0, 13, 64
"c:\Users\ketan\colon33\src\components\common\Footer\footer.scss", "SCSS", 0, 104, 0, 20, 124
"c:\Users\ketan\colon33\src\components\common\Navbar\Navbar.jsx", "JavaScript JSX", 49, 0, 0, 4, 53
"c:\Users\ketan\colon33\src\components\common\Navbar\navbar.scss", "SCSS", 0, 41, 0, 15, 56
"c:\Users\ketan\colon33\src\components\common\PresenceComp\Presence.jsx", "JavaScript JSX", 45, 0, 0, 7, 52
"c:\Users\ketan\colon33\src\components\common\PresenceComp\presence.scss", "SCSS", 0, 49, 1, 8, 58
"Total", "-", 1045, 1493, 107, 501, 3146
