Date : 2023-04-03 12:04:05
Directory : c:\Users\ketan\colon33\src
Total : 82 files,  5172 codes, 504 comments, 1101 blanks, all 6777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| SCSS           |         37 |      2,744 |        322 |        639 |      3,705 |
| JavaScript JSX |         36 |      2,203 |        168 |        439 |      2,810 |
| JavaScript     |          7 |        211 |         14 |         21 |        246 |
| CSS            |          1 |         13 |          0 |          2 |         15 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         82 |      5,172 |        504 |      1,101 |      6,777 |
| . (Files)                                                                                           |          8 |         80 |         12 |         23 |        115 |
| components                                                                                          |         74 |      5,092 |        492 |      1,078 |      6,662 |
| components\Aboutus                                                                                  |          4 |        226 |          3 |         37 |        266 |
| components\Aboutus (Files)                                                                          |          2 |         47 |          0 |          6 |         53 |
| components\Aboutus\Values                                                                           |          2 |        179 |          3 |         31 |        213 |
| components\ApplicationEngg                                                                          |          2 |         89 |          0 |         17 |        106 |
| components\Careers                                                                                  |          8 |        571 |          2 |         96 |        669 |
| components\Careers (Files)                                                                          |          2 |         41 |          0 |          5 |         46 |
| components\Careers\CareersTestimonials                                                              |          2 |        304 |          2 |         54 |        360 |
| components\Careers\Network                                                                          |          2 |         80 |          0 |         15 |         95 |
| components\Careers\cultureComp                                                                      |          2 |        146 |          0 |         22 |        168 |
| components\CloudEngg                                                                                |          2 |          9 |          0 |          5 |         14 |
| components\Home                                                                                     |         16 |      1,326 |        121 |        331 |      1,778 |
| components\Home (Files)                                                                             |          2 |         34 |          0 |          4 |         38 |
| components\Home\Banner                                                                              |          2 |        228 |         35 |         85 |        348 |
| components\Home\Digital1                                                                            |          2 |        136 |          7 |         31 |        174 |
| components\Home\DigitalTransformation                                                               |          2 |        155 |         21 |         45 |        221 |
| components\Home\HomeCareers                                                                         |          2 |        108 |          2 |         22 |        132 |
| components\Home\Partners                                                                            |          2 |        188 |          6 |         31 |        225 |
| components\Home\Services                                                                            |          2 |        272 |         45 |         80 |        397 |
| components\Home\Testimonials                                                                        |          2 |        205 |          5 |         33 |        243 |
| components\Leadership                                                                               |          6 |        398 |         23 |         78 |        499 |
| components\Leadership (Files)                                                                       |          2 |         32 |          2 |          6 |         40 |
| components\Leadership\LeadershipCarousal                                                            |          2 |         79 |          5 |         13 |         97 |
| components\Leadership\LeadershipDetails                                                             |          2 |        287 |         16 |         59 |        362 |
| components\LetsTalk                                                                                 |          6 |        534 |         10 |        113 |        657 |
| components\LetsTalk (Files)                                                                         |          2 |         34 |          0 |          8 |         42 |
| components\LetsTalk\Location                                                                        |          2 |        225 |          8 |         39 |        272 |
| components\LetsTalk\contactusComponent                                                              |          2 |        275 |          2 |         66 |        343 |
