"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\ketan\colon33\src\App.js", "JavaScript", 71, 0, 0, 0, 0, 0, 71
"c:\Users\ketan\colon33\src\components\ApplicationEngg\ApplicationEngg.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, -6, -2
"c:\Users\ketan\colon33\src\components\CloudEngg\CloudEngg.jsx", "JavaScript JSX", 0, 0, 66, 0, 0, 3, 69
"c:\Users\ketan\colon33\src\components\CloudEngg\cloud.scss", "SCSS", 0, 0, 0, -2, 0, -3, -5
"c:\Users\ketan\colon33\src\components\CloudEngg\cloudengg.scss", "SCSS", 0, 0, 0, 8, 0, 2, 10
"c:\Users\ketan\colon33\src\components\Data&Analytics\Data&Analytics.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 7, 80
"c:\Users\ketan\colon33\src\components\Data&Analytics\data&analytics.scss", "SCSS", 0, 0, 0, 8, 0, 1, 9
"c:\Users\ketan\colon33\src\components\DigitalDefence\DigitalDefense.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 7, 80
"c:\Users\ketan\colon33\src\components\DigitalDefence\digitaldefense.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ketan\colon33\src\components\DigitalInnovation\DigitalInnovation.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 6, 91
"c:\Users\ketan\colon33\src\components\DigitalInnovation\digital-innovation.scss", "SCSS", 0, 0, 0, 8, 0, 4, 12
"c:\Users\ketan\colon33\src\components\EnterpriseApplications\Enterprise.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 7, 80
"c:\Users\ketan\colon33\src\components\EnterpriseApplications\enterprise.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\Home\Home.jsx", "JavaScript JSX", 0, 0, 1, 0, 1, 0, 2
"c:\Users\ketan\colon33\src\components\Industries\Industries.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 2, 23
"c:\Users\ketan\colon33\src\components\Industries\industries.scss", "SCSS", 0, 0, 0, 8, 0, 1, 9
"c:\Users\ketan\colon33\src\components\InfrastructureServices\Infra.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 7, 68
"c:\Users\ketan\colon33\src\components\InfrastructureServices\infra.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\LetsTalk\Letstalk.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -1, -1
"c:\Users\ketan\colon33\src\components\SubtoSubServices\AR\AR.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\AR\ar.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ApplicationSecurity\ApplicationSecurity.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ApplicationSecurity\app-security.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\CloudMigration\CloudMigration.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\CloudMigration\cloudmigration.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\CloudOptimization\Cloudoptimization.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\CloudOptimization\cloudoptimization.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ConversationalAI\Conversationalai.jsx", "JavaScript JSX", 0, 0, 60, 0, 1, 6, 67
"c:\Users\ketan\colon33\src\components\SubtoSubServices\ConversationalAI\conversationalai.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DCNetwork\DCNetwork.jsx", "JavaScript JSX", 0, 0, 60, 0, 1, 6, 67
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DCNetwork\dcnetwork.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataAnalytics\DataAnalytics.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 6, 79
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataAnalytics\dataanalytics.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataModelling\DataModelling.jsx", "JavaScript JSX", 0, 0, 60, 0, 1, 6, 67
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataModelling\datamodelling.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataVisualization\DataVisualization.jsx", "JavaScript JSX", 0, 0, 48, 0, 1, 5, 54
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DataVisualization\datavisualization.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Devops\Devops.jsx", "JavaScript JSX", 0, 0, 72, 0, 1, 5, 78
"c:\Users\ketan\colon33\src\components\SubtoSubServices\Devops\devops.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DigitalIdentity\DigitalIdentity.jsx", "JavaScript JSX", 0, 0, 84, 0, 1, 5, 90
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DigitalIdentity\digitalidentity.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DigitalTwin\DigitalTwin.jsx", "JavaScript JSX", 0, 0, 60, 0, 1, 5, 66
"c:\Users\ketan\colon33\src\components\SubtoSubServices\DigitalTwin\digitaltwin.scss", "SCSS", 0, 0, 0, 8, 0, 0, 8
